event,type,date,regime_at_event,t-60,t-30,t-14,t-7,t-3,t+0,t+3,t+7,t+14,t+30,t+60,vol_change_pre30,vol_change_post30,vol_change_total,price_change_pct
Halving_2016,halving,2016-07-09,CRISIS,0.2730515733097013,0.4876674067245986,0.9439113116671606,0.9212230124366586,0.9505492105393852,0.9829683091426856,0.9031738172838644,0.8068832222998344,0.5851621894438243,0.4785730739283239,0.2184824227356184,1.0156530774626884,-0.5131347882967656,-0.018648637720852557,2.8581889373873173
Halving_2020,halving,2020-05-11,HIGH,1.6829435839454645,1.0556403705526558,0.6299123473410091,0.6631262670098772,0.6636215825645541,0.7241239871744899,0.7459723417391467,0.7284125430370193,0.7446120318423862,0.587789498665146,0.3374110155966781,-0.31404291899580183,-0.1882750619010938,-0.44319153088336083,43.89816707744251
Halving_2024,halving,2024-04-19,MEDIUM,0.3698150693141586,0.8033104403686343,0.7071586458614678,0.7199838252643974,0.7002600877651783,0.5681477848265607,0.5590843653657608,0.5252708165906128,0.5600835797848472,0.5226863977740646,0.3772808436045947,-0.29274193851403063,-0.08001683411715528,-0.34933448949797424,-2.4079167601332117
ATH_Crash_2017,crash,2017-12-17,CRISIS,0.7157065593488933,0.8950581346392522,0.8597242289761141,1.2656686707150593,1.2315696529278162,1.2268512501468585,1.3216217581552538,1.4674761611010452,1.6259840519374844,1.4345037683932529,1.375803335037473,0.3706944863881199,0.1692564752422412,0.6026934037881472,49.05324368894576
COVID_Crash,crash,2020-03-12,CRISIS,0.5642246403731279,0.4742670167459928,0.4904626340780091,0.516674016693418,0.5857072491110625,1.6829435839454645,1.761442450214166,1.8867817482767584,1.933964780527388,1.0556403705526558,0.7241239871744899,2.5485149178038093,-0.37274167677217657,1.225835517290535,-32.8083442884757
China_Ban_Crash,crash,2021-05-19,CRISIS,0.8332188858152502,0.5747866195621638,0.7638907138606829,0.9033426462287814,0.8946789913821951,1.0089154536851,1.101951709807257,1.1437988900895435,1.149872483533792,1.0575691663659377,0.7326143904180117,0.7552869523191547,0.048223775840808364,0.8399335168440892,-35.77798524150582
LUNA_Crash,crash,2022-05-09,HIGH,0.8370973190156623,0.4573140277358401,0.4725973922030274,0.4924129511119819,0.5670657461603817,0.6855404275698694,0.6962527568553472,0.7244951025096878,0.7940734496101756,0.6761221456712804,0.9117667822029872,0.49905838437534333,-0.013738477732050551,0.478463604142559,-29.376235536389082
FTX_Crash,crash,2022-11-08,MEDIUM,0.6423149887119611,0.5078295969962082,0.2953033107599912,0.3149453406514116,0.3158365030811146,0.4910212053812845,0.8235733184830943,0.8305533990337877,0.8379345461082521,0.7387675869481201,0.2600846093951945,-0.033098487591791945,0.5045533244831192,0.45475488494152533,-11.379732176844033
Futures_ETF,etf,2021-10-19,HIGH,0.625445511871273,0.6169913078519396,0.8413369128979853,0.7812486794357416,0.7963121626734498,0.7901294655255153,0.6818292192028982,0.6812298960696165,0.6067861086952357,0.5759911100645739,0.6713286209885966,0.2806168506268876,-0.27101679510017757,-0.06645182398129428,20.486401089182433
Spot_ETF_Approval,etf,2024-01-10,MEDIUM,0.409618776084019,0.5285515309065726,0.4442934525020103,0.4717961048369274,0.4445550116564196,0.4544203978269212,0.5256538440693207,0.5155208536678682,0.5403832391622148,0.4738400610801921,0.5753661597396552,-0.14025336934035845,0.042735016619274785,-0.10351208279075318,14.313333404682385
China_Full_Ban,regulatory,2021-09-24,HIGH,0.6161207291546821,0.6264775635420918,0.6902674200248089,0.6545972793095567,0.7201174942040955,0.7730295969714137,0.7466001194471005,0.831913627778846,0.7703533307837876,0.6499316731667623,0.5660786937439279,0.2339302186669217,-0.1592408936047549,0.037438068000490474,24.448231133938336
SEC_Suits,regulatory,2023-06-05,LOW,0.6631422962372209,0.4340497587884329,0.3190757218018185,0.3433772962187241,0.3147182550123806,0.3402163013644231,0.4023198049370139,0.4030020306606566,0.4297595483882836,0.4311689805546621,0.2547032894467444,-0.21618133756352723,0.2673378048773004,-0.006636976925898892,5.568462062763397
