date,rv_cc_7d,rv_cc_14d,rv_cc_21d,rv_cc_30d,rv_cc_60d,rv_cc_90d,rv_park_7d,rv_park_14d,rv_park_21d,rv_park_30d,rv_park_60d,rv_park_90d,rv_gk_7d,rv_gk_14d,rv_gk_21d,rv_gk_30d,rv_gk_60d,rv_gk_90d,rv_yz_7d,rv_yz_14d,rv_yz_21d,rv_yz_30d,rv_yz_60d,rv_yz_90d
2014-09-17,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-18,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-19,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-20,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-21,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-22,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-23,,,,,,,0.9105025211581268,,,,,,0.873174776532901,,,,,,,,,,,
2014-09-24,1.0805106828702418,,,,,,0.9110225629522979,,,,,,0.8680062918777472,,,,,,0.8598111765926998,,,,,
2014-09-25,0.9590863675930738,,,,,,0.8128658945588842,,,,,,0.7826077828741399,,,,,,0.7702105730399594,,,,,
2014-09-26,0.7891932759516599,,,,,,0.6869122472314778,,,,,,0.6692866194333542,,,,,,0.6560710607688802,,,,,
2014-09-27,0.74649240729937,,,,,,0.5955322173522555,,,,,,0.5556296101613245,,,,,,0.5433341229272622,,,,,
2014-09-28,0.8356830660174677,,,,,,0.6331582860763155,,,,,,0.563056760761669,,,,,,0.5537758390522565,,,,,
2014-09-29,0.8255292839970223,,,,,,0.6417237573014082,,,,,,0.5770930521553741,,,,,,0.5672683048714372,,,,,
2014-09-30,0.5120701558730026,,,,,,0.4800341992960281,0.7278212945253402,,,,,0.442440145703078,0.6921659746415748,,,,,0.42121576875531336,,,,,
2014-10-01,0.5034886589760422,0.8103728057572663,,,,,0.47077856496926473,0.725118806625057,,,,,0.4458420517226557,0.6900036441293712,,,,,0.42734442384009586,0.675472183567911,,,,
2014-10-02,0.4959745667012201,0.7387896157924573,,,,,0.4699203496988929,0.6639187064687005,,,,,0.44950179186593364,0.6381719214701717,,,,,0.43073845730758165,0.6216590378319792,,,,
2014-10-03,0.539489675099849,0.6797959294985579,,,,,0.5003088567025142,0.6008982390935989,,,,,0.4606569128969295,0.5745212660782266,,,,,0.438480757938576,0.5602283916892384,,,,
2014-10-04,0.7457802484127655,0.7568422118593978,,,,,0.6899414886899665,0.6444679509953234,,,,,0.6028508367969234,0.5797212240011471,,,,,0.5625678208083145,0.5582323120345406,,,,
2014-10-05,0.702755497343059,0.7571208221692786,,,,,0.9539114489520165,0.8095790473044719,,,,,1.0089015561147772,0.8169808032537368,,,,,0.9933394737127126,0.8022145817896447,,,,
2014-10-06,0.7945811127974969,0.7830691364717175,,,,,1.10174786090271,0.9015702218043623,,,,,1.192308722700394,0.9366526787111246,,,,,1.1628593998953745,0.9108632168379059,,,,
2014-10-07,0.7543809562485251,0.6201829235025953,,,,,1.1113724247457506,0.8560319792446507,0.8745658618259944,,,,1.2090286078069907,0.9103580221609165,0.8981346683355738,,,,1.1802808377555534,0.8816455042530162,,,,
2014-10-08,0.9054720961181597,0.7041663204612159,0.8202789091438981,,,,1.157887455491629,0.8838370372470818,0.8929908411302572,,,,1.2497996650693215,0.9382894910132095,0.9154614975757696,,,,1.230150112326758,0.9160196268376705,0.8947354939134204,,,
2014-10-09,0.9549594457271374,0.7369500814618879,0.7940093627197626,,,,1.222080396809351,0.9258254779727197,0.8897671219414373,,,,1.327151438123112,0.9908034115309984,0.9266170986295807,,,,1.311796738165727,0.9717439258973931,0.9069727289293852,,,
2014-10-10,0.9024365174357271,0.7353533726824251,0.7412740226027038,,,,1.2280608022678805,0.9376679279365929,0.8622240083177158,,,,1.347891282414526,1.0072278045727303,0.9086547344951458,,,,1.328911746693852,0.9864270338380475,0.8885939450052911,,,
2014-10-11,0.5005462906302962,0.736662815883237,0.7218437392960324,,,,1.1360632978967484,0.9398561258628267,0.8408958906127553,,,,1.2957150191341775,1.0105212868209736,0.8852552938606012,,,,1.270430626704654,0.9895663110384783,0.8647963564747253,,,
2014-10-12,0.41000237604547024,0.7231333212997596,0.7451007695263991,,,,0.9181465554832889,0.9361998050062721,0.8473152827243353,,,,1.0171106950646855,1.0130144411472588,0.8887124453922484,,,,0.9730232541304792,0.9935679175633948,0.8702468047710394,,,
