date,close,rv_cc_30d,iv_synthetic_30d,iv_premium_factor,vrp_30d,vrp_60d,vrp_90d,vrp_forward,forward_rv_30d,vrp_30d_roll_mean,vrp_30d_roll_std,vrp_zscore,vrp_percentile,regime_threshold,regime_change,days_since_regime_change
2014-09-17,457.3340148925781,,,,,,,,0.7532366533812058,,,,,,1,0
2014-09-18,424.4400024414063,,,,,,,,0.715783522691936,,,,,,1,0
2014-09-19,394.7959899902344,,,,,,,,0.6703275538169592,,,,,,1,0
2014-09-20,408.9039916992188,,,,,,,,0.6602031564738067,,,,,,1,0
2014-09-21,398.8210144042969,,,,,,,,0.656161134154039,,,,,,1,0
2014-09-22,402.1520080566406,,,,,,,,0.6557778935470214,,,,,,1,0
2014-09-23,435.7909851074219,,,,,,,,0.6243826775833832,,,,,,1,0
2014-09-24,423.2049865722656,,,,,,,,0.6192437401487508,,,,,,1,0
2014-09-25,411.5740051269531,,,,,,,,0.6209616702983577,,,,,,1,0
2014-09-26,404.4249877929688,,,,,,,,0.6263084868127511,,,,,,1,0
2014-09-27,399.5199890136719,,,,,,,,0.6256763191959628,,,,,,1,0
2014-09-28,377.1809997558594,,,,,,,,0.5976461895284111,,,,,,1,0
2014-09-29,375.4670104980469,,,,,,,,0.635363993587715,,,,,,1,0
2014-09-30,386.9440002441406,,,,,,,,0.6343310668748516,,,,,,1,0
2014-10-01,383.614990234375,,,,,,,,0.6367936273690503,,,,,,1,0
2014-10-02,375.0719909667969,,,,,,,,0.6445571914701079,,,,,,1,0
2014-10-03,359.5119934082031,,,,,,,,0.6302035748552085,,,,,,1,0
2014-10-04,328.8659973144531,,,,,,,,0.5491871821815711,,,,,,1,0
2014-10-05,320.510009765625,,,,,,,,0.5421119065618,,,,,,1,0
2014-10-06,330.0790100097656,,,,,,,,0.5404902700866564,,,,,,1,0
2014-10-07,336.18701171875,,,,,,,,0.5457268945618491,,,,,,1,0
2014-10-08,352.94000244140625,,,,,,,,0.5227379834590665,,,,,,1,0
2014-10-09,365.0260009765625,,,,,,,,0.5090241574484631,,,,,,1,0
2014-10-10,361.56201171875,,,,,,,,0.5393551101463592,,,,,,1,0
2014-10-11,362.2990112304688,,,,,,,,0.5404242692090592,,,,,,1,0
2014-10-12,378.5490112304688,,,,,,,,0.5172976730021405,,,,,,1,0
2014-10-13,390.41400146484375,,,,,,,,0.7106206914299731,,,,,,1,0
2014-10-14,400.8699951171875,,,,,,,,0.7060869139367044,,,,,,1,0
2014-10-15,394.7730102539063,,,,,,,,0.7321484546270376,,,,,,1,0
2014-10-16,382.5559997558594,,,,,,,,0.7503674875656153,,,,,,1,0
2014-10-17,383.7579956054688,0.7532366533812058,0.8285603187193264,0.1,0.07532366533812063,,,0.07033386355482163,0.7582264551645048,,,,,HIGH,1,0
2014-10-18,391.4419860839844,0.715783522691936,0.790049503270914,0.10375480606158231,0.07426598057897804,,,0.03507782675390514,0.7549716765170089,,,,,HIGH,0,1
2014-10-19,389.5459899902344,0.6703275538169592,0.7391011377934885,0.10259698200517173,0.06877358397652933,,,-0.023819360263570455,0.762920498057059,,,,,HIGH,0,2
2014-10-20,382.8450012207031,0.6602031564738067,0.7267179903022786,0.10074903940740382,0.0665148338284719,,,-0.035754018685454025,0.7624720089877326,,,,,HIGH,0,3
2014-10-21,386.4750061035156,0.656161134154039,0.7210926478830499,0.09895665919427608,0.06493151372901096,,,-0.06975816793847978,0.7908508158215297,,,,,HIGH,0,4
2014-10-22,383.1579895019531,0.6557778935470214,0.45904452548291497,-0.3,-0.19673336806410646,,,-0.3338243827873395,0.7928689082702545,,,,,HIGH,0,5
2014-10-23,358.4169921875,0.6243826775833832,0.4370678743083682,-0.3,-0.18731480327501498,,,-0.3219802225141702,0.7590480968225384,,,,,MEDIUM,1,0
2014-10-24,358.3450012207031,0.6192437401487508,0.44002891195441823,-0.289409188296813,-0.1792148281943326,,,-0.33250681538602905,0.7725357273404473,,,,,MEDIUM,0,1
2014-10-25,347.27099609375,0.6209616702983577,0.44784676456705313,-0.27878517147141607,-0.17311490573130456,,,-0.3201197088024898,0.7679664733695429,,,,,MEDIUM,0,2
2014-10-26,354.7040100097656,0.6263084868127511,0.449921773703804,-0.2816291281738322,-0.1763867131089471,,,-0.315461722711408,0.765383496415212,,,,,MEDIUM,0,3
2014-10-27,352.989013671875,0.6256763191959628,0.46178448174979414,-0.261943488059099,-0.16389183744616864,,,-0.3066736527603455,0.7684581345101397,,,,,MEDIUM,0,4
2014-10-28,357.6180114746094,0.5976461895284111,0.4473192751888034,-0.25153162016849345,-0.1503269143396077,,,-0.32004633858734505,0.7673656137761484,,,,,MEDIUM,0,5
2014-10-29,335.59100341796875,0.635363993587715,0.44475479551140046,-0.3,-0.19060919807631455,,,-0.28808973179536573,0.7328445273067662,,,,,HIGH,1,0
2014-10-30,345.30499267578125,0.6343310668748516,0.44862532917234427,-0.2927583834375648,-0.18570573770250737,,,-0.2790317822798722,0.7276571114522165,,,,,HIGH,0,1
