date,rv_cc_30d,vov_30d,vov_60d,vov_90d,vov_ratio_30d,garch_vol_daily,garch_vol_annual,var_95pct,var_99pct,cvar_95pct,cvar_99pct
2014-09-17,,,,,,,,,,,
2014-09-18,,,,,,0.042557842831303996,0.67558481080202,,,,
2014-09-19,,,,,,0.04732435495042928,0.751250844932306,,,,
2014-09-20,,,,,,0.050848506369048155,0.8071950143495121,,,,
2014-09-21,,,,,,0.04957699823560041,0.7870104484829201,,,,
2014-09-22,,,,,,0.04772624596462863,0.7576306669986439,,,,
2014-09-23,,,,,,0.04535439252267594,0.7199786608764476,,,,
2014-09-24,,,,,,0.05054305186086593,0.8023460743565498,,,,
2014-09-25,,,,,,0.048883589848823385,0.7760029315924091,,,,
2014-09-26,,,,,,0.04726110518128558,0.7502467859744871,,,,
2014-09-27,,,,,,0.045205238272382535,0.7176109105568599,,,,
2014-09-28,,,,,,0.04309165670021319,0.6840588432632059,,,,
2014-09-29,,,,,,0.04510479723063088,0.716016458449465,,,,
2014-09-30,,,,,,0.04283536237103263,0.6799902969185185,,,,
2014-10-01,,,,,,0.0418729350048714,0.6647122361235654,,,,
2014-10-02,,,,,,0.03987736918666273,0.6330336108445178,,,,
2014-10-03,,,,,,0.038624529697196874,0.6131454005136711,,,,
2014-10-04,,,,,,0.03929743183043303,0.6238273907210374,,,,
2014-10-05,,,,,,0.04753040332743469,0.7545217615139347,,,,
2014-10-06,,,,,,0.0458793183776421,0.7283116004903781,,,,
2014-10-07,,,,,,0.04460430098703624,0.7080713268934244,,,,
2014-10-08,,,,,,0.0427686875363262,0.6789318667304811,,,,
2014-10-09,,,,,,0.04366768156614006,0.6932029545285967,,,,
2014-10-10,,,,,,0.04292100789030668,0.6813498773879553,,,,
2014-10-11,,,,,,0.04088003675833497,0.6489504650984005,,,,
2014-10-12,,,,,,0.0388497956783021,0.6167213871027555,,,,
2014-10-13,,,,,,0.03967318644840299,0.629792310359833,,,,
2014-10-14,,,,,,0.03906154656496313,0.6200828282187705,,,,
2014-10-15,,,,,,0.03814792608865192,0.6055795527806755,,,,
2014-10-16,,,,,,0.036632940681826744,0.581529905022567,,,,
2014-10-17,0.7532366533812058,,,,,0.03637215420306108,0.5773900480139539,,,,
2014-10-18,0.715783522691936,,,,,0.03463462541446023,0.549807633591235,,,,
2014-10-19,0.6703275538169592,,,,,0.03363444624488142,0.5339302814959591,,,,
2014-10-20,0.6602031564738067,,,,,0.032097321424748596,0.509529181447141,,,,
2014-10-21,0.656161134154039,,,,,0.03115077544877466,0.4945032299056453,,,,
2014-10-22,0.6557778935470214,,,,,0.029899076962073504,0.47463313243216243,,,,
2014-10-23,0.6243826775833832,,,,,0.028709666618227693,0.4557518285724194,,,,
2014-10-24,0.6192437401487508,,,,,0.035194155842657435,0.5586899037751346,,,,
2014-10-25,0.6209616702983577,,,,,0.03351649385809296,0.5320578454040265,,,,
2014-10-26,0.6263084868127511,,,,,0.03358251203374706,0.5331058514527721,,,,
2014-10-27,0.6256763191959628,,,,,0.03276192447207675,0.520079427749977,,,,
2014-10-28,0.5976461895284111,,,,,0.031282540841898195,0.4965949406753025,,,,
