date,log_return,rsi_14,bb_middle,bb_upper,bb_lower,bb_pct_b,sma_50,sma_200,sma_cross_signal,macd_line,macd_signal,macd_histogram,atr_14,vol_sma_20,vol_ratio,rolling_drawdown_90d,sharpe_90d
2014-09-17,,,,,,,,,,,,,,,,,
2014-09-18,-0.07464335114904999,,,,,,,,,,,,,,,,
2014-09-19,-0.07240150831598667,,,,,,,,,,,,,,,,
2014-09-20,0.03511123892407982,,,,,,,,,,,,,,,,
2014-09-21,-0.024967658573127792,,,,,,,,,,,,,,,,
2014-09-22,0.008317415847792081,,,,,,,,,,,,,,,,
2014-09-23,0.0803325898083076,,,,,,,,,,,,,,,,
2014-09-24,-0.029306072958098176,,,,,,,,,,,,,,,,
2014-09-25,-0.027867817193167922,,,,,,,,,,,,,,,,
2014-09-26,-0.017522571265166875,,,,,,,,,,,,,,,,
2014-09-27,-0.012202475999442316,,,,,,,,,,,,,,,,
2014-09-28,-0.05753862134517327,,,,,,,,,,,,,,,,
2014-09-29,-0.004554565208133669,,,,,,,,,,,,,,,,
2014-09-30,0.030109367868546847,33.933723525639806,,,,,,,,,,,19.292984652340188,,,,
2014-10-01,-0.008640560327416795,32.93373192387091,,,,,,,,,,,18.67198567884714,,,,
2014-10-02,-0.022521436563615105,30.453554355714928,,,,,,,,,,,18.23477204986141,,,,
2014-10-03,-0.04237044549422231,26.534065257701556,,,,,,,,,,,18.34914537023962,,,,
2014-10-04,-0.0890971731632362,20.843956868586176,,,,,,,,,,,19.795707356907776,,,,
2014-10-05,-0.02573685720834996,19.6091895757757,,,,,,,,,,,22.132085751615257,,,,
2014-10-06,0.029418542484082592,25.08240149085384,389.91039886474607,461.0277318534611,318.79306587603105,0.07934735218153809,,,,,,,23.59222284985368,34967284.8,2.259592085914546,,
2014-10-07,0.01833553754976984,28.431847125076942,383.85304870605466,451.3346407434814,316.37145666862796,0.146821929150189,,,,,,,23.247422264038235,36374439.8,1.352595401345535,,
2014-10-08,0.048630490107531996,36.780527501497374,380.2780487060547,446.26542887018627,314.2906685419231,0.292853980589546,,,,,,,23.528036773080146,37387094.8,1.4640426139770562,,
2014-10-09,0.033670508865158155,42.03399742934322,378.78954925537107,444.7410942241703,312.83800428657185,0.3956540875174348,,,,,,,24.350248536777546,39673165.0,2.108253878912862,,
2014-10-10,-0.009535019685869594,40.982820290668194,376.42245025634764,441.2111352664605,311.6337652462348,0.38531609697528135,,,,,,,24.189800311912855,40013270.0,1.0912804677048389,,
2014-10-11,0.002036301839769173,41.319058938671866,374.5963500976562,438.7828515783941,310.40984861691834,0.4042061914616284,,,,,,,23.264816057630018,39351525.0,0.3391278991093738,,
